song_id,song_name,artist_name,genre,album_name,user_rating,year,popularity,song_url,song_image_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
5fnlHRQdhuPJnRmRdNZFoa,Hum Aapke Dil Mein Rehte Hain,Anuradha Paudwal,Bollywood,Hum Aapke Dil Mein Rahte Hain,,1998,49,https://open.spotify.com/track/5fnlHRQdhuPJnRmRdNZFoa,https://i.scdn.co/image/ab67616d0000b273979464b020439c116f3a9451,0.547,0.739,7.0,-7.385,0.0,0.0416,0.689,0.000851,0.133,0.723,154.804,audio_features,5fnlHRQdhuPJnRmRdNZFoa,spotify:track:5fnlHRQdhuPJnRmRdNZFoa,https://api.spotify.com/v1/tracks/5fnlHRQdhuPJnRmRdNZFoa,https://api.spotify.com/v1/audio-analysis/5fnlHRQdhuPJnRmRdNZFoa,322733.0,3.0
4voXJNdm1u9RZZbBbLpCFR,"Shree Ram Dhun, Pt. 2",Jagjit Singh,Bollywood,He Ram He Ram,,1998,23,https://open.spotify.com/track/4voXJNdm1u9RZZbBbLpCFR,https://i.scdn.co/image/ab67616d0000b2739fbc39d9dc41dd202576b3b9,0.586,0.411,0.0,-11.425,1.0,0.0248,0.742,0.0,0.176,0.683,91.57,audio_features,4voXJNdm1u9RZZbBbLpCFR,spotify:track:4voXJNdm1u9RZZbBbLpCFR,https://api.spotify.com/v1/tracks/4voXJNdm1u9RZZbBbLpCFR,https://api.spotify.com/v1/audio-analysis/4voXJNdm1u9RZZbBbLpCFR,1613160.0,4.0
3DzWXtOawHbCs9O75mtC9e,Sona Sona,Sonu Nigam,Bollywood,Major Saab,,1998,34,https://open.spotify.com/track/3DzWXtOawHbCs9O75mtC9e,https://i.scdn.co/image/ab67616d0000b2739f8ea8c6bcd5b9cca33673e2,0.796,0.576,11.0,-14.89,0.0,0.147,0.105,2.97e-06,0.075,0.541,96.95,audio_features,3DzWXtOawHbCs9O75mtC9e,spotify:track:3DzWXtOawHbCs9O75mtC9e,https://api.spotify.com/v1/tracks/3DzWXtOawHbCs9O75mtC9e,https://api.spotify.com/v1/audio-analysis/3DzWXtOawHbCs9O75mtC9e,408787.0,4.0
7FG81dEuTzRtg4fzaZQ98g,Yaad Koi Aa Raha Hai,Salma Agha,Bollywood,Husn - Romantic Songs,,1998,42,https://open.spotify.com/track/7FG81dEuTzRtg4fzaZQ98g,https://i.scdn.co/image/ab67616d0000b273fb94917d754ccde4a1dfecc6,0.251,0.359,7.0,-10.787,1.0,0.0324,0.716,0.001,0.151,0.325,132.988,audio_features,7FG81dEuTzRtg4fzaZQ98g,spotify:track:7FG81dEuTzRtg4fzaZQ98g,https://api.spotify.com/v1/tracks/7FG81dEuTzRtg4fzaZQ98g,https://api.spotify.com/v1/audio-analysis/7FG81dEuTzRtg4fzaZQ98g,304800.0,3.0
5zjFsuLrTM5sp6coribhCa,Taal Se Taal - Western Version,Sukhwinder Singh,Bollywood,Taal (Original Motion Picture Soundtrack),,1999,61,https://open.spotify.com/track/5zjFsuLrTM5sp6coribhCa,https://i.scdn.co/image/ab67616d0000b27398754a3b7cbff68a9ccbd5de,0.771,0.72,7.0,-11.742,1.0,0.0867,0.203,0.0011,0.335,0.492,94.968,audio_features,5zjFsuLrTM5sp6coribhCa,spotify:track:5zjFsuLrTM5sp6coribhCa,https://api.spotify.com/v1/tracks/5zjFsuLrTM5sp6coribhCa,https://api.spotify.com/v1/audio-analysis/5zjFsuLrTM5sp6coribhCa,154200.0,4.0
2fsPrE2NYiHOHPMuWbjvTj,Ramta Jogi,Sukhwinder Singh,Bollywood,Taal (Original Motion Picture Soundtrack),,1999,57,https://open.spotify.com/track/2fsPrE2NYiHOHPMuWbjvTj,https://i.scdn.co/image/ab67616d0000b27398754a3b7cbff68a9ccbd5de,0.798,0.636,6.0,-10.52,1.0,0.0431,0.327,0.0,0.128,0.799,139.98,audio_features,2fsPrE2NYiHOHPMuWbjvTj,spotify:track:2fsPrE2NYiHOHPMuWbjvTj,https://api.spotify.com/v1/tracks/2fsPrE2NYiHOHPMuWbjvTj,https://api.spotify.com/v1/audio-analysis/2fsPrE2NYiHOHPMuWbjvTj,377000.0,4.0
18AId3X5GULxDCCjyRTCIQ,Chunnari Chunnari,Abhijeet,Bollywood,Biwi No. 1 (Original Motion Picture Soundtrack),,1999,60,https://open.spotify.com/track/18AId3X5GULxDCCjyRTCIQ,https://i.scdn.co/image/ab67616d0000b273192e977a9874dd4a230feae5,0.756,0.716,6.0,-9.176,1.0,0.0678,0.208,1.89e-05,0.0599,0.757,119.935,audio_features,18AId3X5GULxDCCjyRTCIQ,spotify:track:18AId3X5GULxDCCjyRTCIQ,https://api.spotify.com/v1/tracks/18AId3X5GULxDCCjyRTCIQ,https://api.spotify.com/v1/audio-analysis/18AId3X5GULxDCCjyRTCIQ,335000.0,4.0
4A15QHUraE6rrP0Co6S3lG,Woh Ladki Jo,Abhijeet,Bollywood,Baadshah (Original Motion Picture Soundtrack),,1999,62,https://open.spotify.com/track/4A15QHUraE6rrP0Co6S3lG,https://i.scdn.co/image/ab67616d0000b2737cf199d96a5f08888bfd2d69,0.752,0.613,2.0,-12.95,0.0,0.0739,0.0404,4.86e-06,0.328,0.496,110.022,audio_features,4A15QHUraE6rrP0Co6S3lG,spotify:track:4A15QHUraE6rrP0Co6S3lG,https://api.spotify.com/v1/tracks/4A15QHUraE6rrP0Co6S3lG,https://api.spotify.com/v1/audio-analysis/4A15QHUraE6rrP0Co6S3lG,434301.0,4.0
5NbR7c5zrOZN3Dje3JVJEN,Hoshwalon Ko Khabar Kya,Jagjit Singh,Bollywood,Sarfarosh (Original Motion Picture Soundtrack),,1999,63,https://open.spotify.com/track/5NbR7c5zrOZN3Dje3JVJEN,https://i.scdn.co/image/ab67616d0000b2736adbe3457a317569ef6f92d4,0.527,0.447,6.0,-12.014,1.0,0.0311,0.243,0.0,0.255,0.536,94.051,audio_features,5NbR7c5zrOZN3Dje3JVJEN,spotify:track:5NbR7c5zrOZN3Dje3JVJEN,https://api.spotify.com/v1/tracks/5NbR7c5zrOZN3Dje3JVJEN,https://api.spotify.com/v1/audio-analysis/5NbR7c5zrOZN3Dje3JVJEN,307000.0,4.0
1qyib2Wb5YTbNzZi7QMhEY,Ae Kash Ke Hum,Jatin-Lalit,Bollywood,Kabhi Haan Kabhi Naa (Original Motion Picture Soundtrack),,1999,62,https://open.spotify.com/track/1qyib2Wb5YTbNzZi7QMhEY,https://i.scdn.co/image/ab67616d0000b27340806cd6dfc7b82254f45889,0.364,0.687,0.0,-7.967,1.0,0.0571,0.656,0.0,0.175,0.663,161.008,audio_features,1qyib2Wb5YTbNzZi7QMhEY,spotify:track:1qyib2Wb5YTbNzZi7QMhEY,https://api.spotify.com/v1/tracks/1qyib2Wb5YTbNzZi7QMhEY,https://api.spotify.com/v1/audio-analysis/1qyib2Wb5YTbNzZi7QMhEY,310427.0,3.0
1s2BVgfna5AW7LCw9rf02r,Taal Se Taal,Alka Yagnik,Bollywood,Taal (Original Motion Picture Soundtrack),,1999,52,https://open.spotify.com/track/1s2BVgfna5AW7LCw9rf02r,https://i.scdn.co/image/ab67616d0000b27398754a3b7cbff68a9ccbd5de,0.682,0.532,7.0,-14.121,1.0,0.0966,0.0155,0.00041,0.128,0.614,95.007,audio_features,1s2BVgfna5AW7LCw9rf02r,spotify:track:1s2BVgfna5AW7LCw9rf02r,https://api.spotify.com/v1/tracks/1s2BVgfna5AW7LCw9rf02r,https://api.spotify.com/v1/audio-analysis/1s2BVgfna5AW7LCw9rf02r,378027.0,4.0
57V7Fo4iocHEMJcf7Upt0M,Baadshah O Baadshah,Abhijeet,Bollywood,Baadshah (Original Motion Picture Soundtrack),,1999,56,https://open.spotify.com/track/57V7Fo4iocHEMJcf7Upt0M,https://i.scdn.co/image/ab67616d0000b2737cf199d96a5f08888bfd2d69,0.78,0.738,5.0,-12.593,0.0,0.0794,0.0439,0.0,0.0859,0.617,126.902,audio_features,57V7Fo4iocHEMJcf7Upt0M,spotify:track:57V7Fo4iocHEMJcf7Upt0M,https://api.spotify.com/v1/tracks/57V7Fo4iocHEMJcf7Upt0M,https://api.spotify.com/v1/audio-analysis/57V7Fo4iocHEMJcf7Upt0M,399599.0,4.0
0WBClBemYPJR44H6uIn0kp,Main Koi Aisa Geet Gaoon,Abhijeet,Bollywood,Yes Boss (Original Motion Picture Soundtrack),,1999,57,https://open.spotify.com/track/0WBClBemYPJR44H6uIn0kp,https://i.scdn.co/image/ab67616d0000b2730f0e4b68ed5159c70422c18f,0.77,0.485,7.0,-11.612,1.0,0.0463,0.166,0.000196,0.289,0.932,121.685,audio_features,0WBClBemYPJR44H6uIn0kp,spotify:track:0WBClBemYPJR44H6uIn0kp,https://api.spotify.com/v1/tracks/0WBClBemYPJR44H6uIn0kp,https://api.spotify.com/v1/audio-analysis/0WBClBemYPJR44H6uIn0kp,317000.0,4.0
